,precision,recall,f1-score,support
0.0,0.42857142857142855,0.75,0.5454545454545454,4.0
1.0,0.0,0.0,0.0,2.0
2.0,0.75,0.75,0.75,4.0
3.0,0.5,0.3333333333333333,0.4,3.0
4.0,0.3333333333333333,0.5,0.4,2.0
5.0,0.5,0.5,0.5,2.0
6.0,0.0,0.0,0.0,4.0
7.0,1.0,0.3333333333333333,0.5,3.0
8.0,0.5,0.3333333333333333,0.4,3.0
9.0,0.5,0.75,0.6,4.0
10.0,0.0,0.0,0.0,3.0
11.0,0.75,0.75,0.75,4.0
12.0,0.0,0.0,0.0,3.0
13.0,0.4,0.5,0.4444444444444445,4.0
14.0,0.6,1.0,0.7499999999999999,3.0
15.0,0.25,0.3333333333333333,0.28571428571428575,3.0
16.0,0.5,0.3333333333333333,0.4,3.0
17.0,0.6666666666666666,0.5,0.5714285714285715,4.0
18.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,3.0
19.0,0.5,0.5,0.5,2.0
20.0,0.5,1.0,0.6666666666666666,3.0
21.0,0.5,0.3333333333333333,0.4,3.0
22.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0
23.0,0.3333333333333333,0.5,0.4,2.0
24.0,0.4,0.6666666666666666,0.5,3.0
25.0,0.0,0.0,0.0,3.0
accuracy,0.4625,0.4625,0.4625,0.4625
macro avg,0.41968864468864464,0.4487179487179487,0.413988788988789,80.0
weighted avg,0.4320535714285715,0.4625,0.42690566378066375,80.0
0,25
1,13
2,22
3,2
4,18
5,17
6,11
7,10
8,13
9,20
10,6
11,9
12,11
13,9
14,4
15,5
16,18
17,3
18,2
19,12
20,4
21,0
22,9
23,17
24,9
25,4
26,22
27,20
28,23
29,11
30,14
31,23
32,19
33,15
34,20
35,24
36,2
37,8
38,9
39,17
40,16
41,20
42,13
43,15
44,12
45,13
46,13
47,14
48,24
49,0
50,7
51,3
52,22
53,20
54,15
55,14
56,23
57,9
58,1
59,14
60,0
61,2
62,11
63,0
64,0
65,0
66,16
67,20
68,24
69,21
70,24
71,0
72,21
73,8
74,24
75,18
76,15
77,5
78,14
79,19
3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0
0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
